user_id,job_preference,recommended_languages
1,Software developer,"{'known': ['C', 'JAVA', 'PYTHON'], 'recommend': ['C++', 'C#', 'RUBY', 'F#']}"
2,Software developer,"{'known': ['C', 'C++', 'JAVA', 'PYTHON'], 'recommend': ['C#', 'RUBY', 'F#']}"
3,Software developer,"{'known': ['C', 'C++', 'JAVA'], 'recommend': ['C#', 'PYTHON', 'RUBY', 'F#']}"
4,Software developer,"{'known': ['C', 'C++', 'JAVA', 'PYTHON'], 'recommend': ['C#', 'RUBY', 'F#']}"
5,Software developer,"{'known': ['C', 'C++', 'JAVA', 'PYTHON'], 'recommend': ['C#', 'RUBY', 'F#']}"
6,Data scientist,"{'known': ['PYTHON', 'R'], 'recommend': ['SAS']}"
7,Data scientist,"{'known': ['PYTHON', 'R'], 'recommend': ['SAS']}"
8,Software developer,"{'known': ['C', 'JAVA', 'PYTHON'], 'recommend': ['C++', 'C#', 'RUBY', 'F#']}"
9,Data scientist,"{'known': ['PYTHON', 'R'], 'recommend': ['SAS']}"
10,Data scientist,"{'known': ['PYTHON', 'R'], 'recommend': ['SAS']}"
11,Web Developer,"{'known': ['HTML', 'JAVASCRIPT'], 'recommend': ['CSS', 'JQUERY', 'HTML5']}"
12,Software developer,"{'known': ['C', 'C++', 'JAVA', 'PYTHON'], 'recommend': ['C#', 'RUBY', 'F#']}"
13,Data scientist,"{'known': ['PYTHON', 'R'], 'recommend': ['SAS']}"
14,Data scientist,"{'known': ['PYTHON', 'R'], 'recommend': ['SAS']}"
15,Software developer,"{'known': ['C', 'C++', 'JAVA', 'PYTHON'], 'recommend': ['C#', 'RUBY', 'F#']}"
16,Data scientist,"{'known': ['PYTHON'], 'recommend': ['R', 'SAS']}"
17,Software developer,"{'known': ['C', 'JAVA', 'PYTHON'], 'recommend': ['C++', 'C#', 'RUBY', 'F#']}"
18,Software developer,"{'known': ['C', 'C++', 'JAVA', 'PYTHON'], 'recommend': ['C#', 'RUBY', 'F#']}"
19,Data scientist,"{'known': ['PYTHON', 'R'], 'recommend': ['SAS']}"
20,Software developer,"{'known': ['C', 'C++', 'JAVA', 'C#', 'PYTHON'], 'recommend': ['RUBY', 'F#']}"
21,Data scientist,"{'known': ['PYTHON', 'R'], 'recommend': ['SAS']}"
22,Mobile app developer,"{'known': ['JAVA', 'C'], 'recommend': ['XML', 'C++']}"
23,Data scientist,"{'known': ['PYTHON', 'R'], 'recommend': ['SAS']}"
24,Mobile app developer,"{'known': ['JAVA', 'C', 'C++'], 'recommend': ['XML']}"
25,Software developer,"{'known': ['C', 'C++', 'JAVA', 'C#', 'PYTHON'], 'recommend': ['RUBY', 'F#']}"
26,Software developer,"{'known': ['C', 'JAVA', 'PYTHON'], 'recommend': ['C++', 'C#', 'RUBY', 'F#']}"
27,Data scientist,"{'known': ['PYTHON', 'R'], 'recommend': ['SAS']}"
28,Data scientist,"{'known': ['PYTHON', 'R'], 'recommend': ['SAS']}"
29,Backend web developer,"{'known': ['PYTHON'], 'recommend': ['PHP', 'SQL']}"
30,Data scientist,"{'known': [], 'recommend': ['PYTHON', 'R', 'SAS']}"
31,Mobile app developer,"{'known': ['C'], 'recommend': ['XML', 'JAVA', 'C++']}"
32,Software developer,"{'known': ['C', 'C++', 'JAVA', 'C#', 'PYTHON'], 'recommend': ['RUBY', 'F#']}"
33,Backend web developer,"{'known': ['PYTHON'], 'recommend': ['PHP', 'SQL']}"
34,Software developer,"{'known': ['C', 'C++', 'JAVA', 'PYTHON'], 'recommend': ['C#', 'RUBY', 'F#']}"
35,Software developer,"{'known': ['C', 'C++', 'JAVA', 'C#', 'PYTHON'], 'recommend': ['RUBY', 'F#']}"
36,Data scientist,"{'known': ['PYTHON', 'R'], 'recommend': ['SAS']}"
37,Software developer,"{'known': ['C', 'C++', 'JAVA', 'PYTHON'], 'recommend': ['C#', 'RUBY', 'F#']}"
38,Software developer,"{'known': ['C', 'JAVA', 'PYTHON'], 'recommend': ['C++', 'C#', 'RUBY', 'F#']}"
39,Data scientist,"{'known': ['PYTHON', 'R'], 'recommend': ['SAS']}"
40,Data scientist,"{'known': ['PYTHON', 'R'], 'recommend': ['SAS']}"
41,Web Developer,"{'known': ['HTML'], 'recommend': ['CSS', 'JAVASCRIPT', 'JQUERY', 'HTML5']}"
42,Data scientist,"{'known': ['PYTHON', 'R'], 'recommend': ['SAS']}"
43,Software developer,"{'known': ['C', 'C++', 'JAVA', 'PYTHON'], 'recommend': ['C#', 'RUBY', 'F#']}"
44,Software developer,"{'known': ['C', 'C++', 'JAVA', 'PYTHON'], 'recommend': ['C#', 'RUBY', 'F#']}"
45,Web Developer,"{'known': ['HTML', 'JAVASCRIPT'], 'recommend': ['CSS', 'JQUERY', 'HTML5']}"
46,Data scientist,"{'known': ['R'], 'recommend': ['PYTHON', 'SAS']}"
47,Web Developer,"{'known': ['HTML', 'JAVASCRIPT'], 'recommend': ['CSS', 'JQUERY', 'HTML5']}"
48,Data scientist,"{'known': ['PYTHON'], 'recommend': ['R', 'SAS']}"
49,Data scientist,"{'known': ['R'], 'recommend': ['PYTHON', 'SAS']}"
50,Mobile app developer,"{'known': ['JAVA', 'C', 'C++'], 'recommend': ['XML']}"
51,Software developer,"{'known': ['C', 'C++', 'JAVA', 'PYTHON'], 'recommend': ['C#', 'RUBY', 'F#']}"
52,Software developer,"{'known': ['C', 'PYTHON'], 'recommend': ['C++', 'JAVA', 'C#', 'RUBY', 'F#']}"
53,Data scientist,"{'known': ['PYTHON', 'R'], 'recommend': ['SAS']}"
54,Data scientist,"{'known': ['PYTHON', 'R'], 'recommend': ['SAS']}"
55,Software developer,"{'known': ['C', 'JAVA', 'PYTHON'], 'recommend': ['C++', 'C#', 'RUBY', 'F#']}"
56,Mobile app developer,"{'known': ['JAVA', 'C'], 'recommend': ['XML', 'C++']}"
57,Mobile app developer,"{'known': ['JAVA', 'C'], 'recommend': ['XML', 'C++']}"
58,Software developer,"{'known': ['C', 'JAVA', 'PYTHON'], 'recommend': ['C++', 'C#', 'RUBY', 'F#']}"
59,Software developer,"{'known': ['C', 'C++', 'JAVA', 'PYTHON'], 'recommend': ['C#', 'RUBY', 'F#']}"
60,Software developer,"{'known': ['C', 'JAVA', 'PYTHON'], 'recommend': ['C++', 'C#', 'RUBY', 'F#']}"
61,Backend web developer,"{'known': ['PYTHON'], 'recommend': ['PHP', 'SQL']}"
62,Data scientist,"{'known': ['PYTHON', 'R'], 'recommend': ['SAS']}"
63,Software developer,"{'known': ['C', 'C++', 'JAVA', 'PYTHON'], 'recommend': ['C#', 'RUBY', 'F#']}"
64,Web Developer,"{'known': ['JAVASCRIPT'], 'recommend': ['HTML', 'CSS', 'JQUERY', 'HTML5']}"
65,Web Developer,"{'known': ['HTML', 'JAVASCRIPT'], 'recommend': ['CSS', 'JQUERY', 'HTML5']}"
66,Data scientist,"{'known': ['R'], 'recommend': ['PYTHON', 'SAS']}"
67,Data scientist,"{'known': ['PYTHON', 'R'], 'recommend': ['SAS']}"
68,Data scientist,"{'known': ['PYTHON', 'R'], 'recommend': ['SAS']}"
69,Data scientist,"{'known': ['PYTHON', 'R'], 'recommend': ['SAS']}"
70,Backend web developer,"{'known': ['PYTHON'], 'recommend': ['PHP', 'SQL']}"
71,Web Developer,"{'known': ['HTML', 'JAVASCRIPT'], 'recommend': ['CSS', 'JQUERY', 'HTML5']}"
72,Backend web developer,"{'known': ['PYTHON'], 'recommend': ['PHP', 'SQL']}"
73,Data scientist,"{'known': ['R'], 'recommend': ['PYTHON', 'SAS']}"
74,Software developer,"{'known': ['C', 'C++', 'JAVA', 'PYTHON'], 'recommend': ['C#', 'RUBY', 'F#']}"
75,Data scientist,"{'known': [], 'recommend': ['PYTHON', 'R', 'SAS']}"
76,Software developer,"{'known': ['C', 'C++', 'JAVA', 'C#', 'PYTHON'], 'recommend': ['RUBY', 'F#']}"
77,Software developer,"{'known': ['C', 'C++', 'JAVA', 'PYTHON'], 'recommend': ['C#', 'RUBY', 'F#']}"
78,Data scientist,"{'known': ['PYTHON', 'R'], 'recommend': ['SAS']}"
79,Web Developer,"{'known': ['HTML', 'JAVASCRIPT'], 'recommend': ['CSS', 'JQUERY', 'HTML5']}"
80,Data scientist,"{'known': ['PYTHON', 'R'], 'recommend': ['SAS']}"
81,Software developer,"{'known': ['C', 'JAVA', 'PYTHON'], 'recommend': ['C++', 'C#', 'RUBY', 'F#']}"
82,Data scientist,"{'known': ['PYTHON', 'R'], 'recommend': ['SAS']}"
83,Web Developer,"{'known': ['HTML', 'JAVASCRIPT'], 'recommend': ['CSS', 'JQUERY', 'HTML5']}"
84,Software developer,"{'known': ['C', 'JAVA', 'PYTHON'], 'recommend': ['C++', 'C#', 'RUBY', 'F#']}"
85,Software developer,"{'known': ['C', 'JAVA', 'PYTHON'], 'recommend': ['C++', 'C#', 'RUBY', 'F#']}"
86,Data scientist,"{'known': ['PYTHON', 'R'], 'recommend': ['SAS']}"
87,Software developer,"{'known': ['C', 'C++', 'JAVA', 'PYTHON'], 'recommend': ['C#', 'RUBY', 'F#']}"
88,Data scientist,"{'known': ['PYTHON', 'R'], 'recommend': ['SAS']}"
89,Mobile app developer,"{'known': ['JAVA', 'C'], 'recommend': ['XML', 'C++']}"
90,Backend web developer,"{'known': [], 'recommend': ['PHP', 'SQL', 'PYTHON']}"
91,Web Developer,"{'known': [], 'recommend': ['HTML', 'CSS', 'JAVASCRIPT', 'JQUERY', 'HTML5']}"
92,Web Developer,"{'known': ['HTML', 'JAVASCRIPT'], 'recommend': ['CSS', 'JQUERY', 'HTML5']}"
93,Data scientist,"{'known': ['PYTHON'], 'recommend': ['R', 'SAS']}"
94,Mobile app developer,"{'known': ['JAVA', 'C', 'C++'], 'recommend': ['XML']}"
95,Data scientist,"{'known': ['PYTHON', 'R'], 'recommend': ['SAS']}"
96,Software developer,"{'known': ['C', 'JAVA', 'C#'], 'recommend': ['C++', 'PYTHON', 'RUBY', 'F#']}"
97,Software developer,"{'known': ['C', 'JAVA', 'PYTHON'], 'recommend': ['C++', 'C#', 'RUBY', 'F#']}"
98,Web Developer,"{'known': ['HTML', 'JAVASCRIPT'], 'recommend': ['CSS', 'JQUERY', 'HTML5']}"
99,Data scientist,"{'known': ['PYTHON', 'R'], 'recommend': ['SAS']}"
100,Software developer,"{'known': ['C', 'C++', 'JAVA', 'PYTHON'], 'recommend': ['C#', 'RUBY', 'F#']}"
101,Data scientist,"{'known': ['PYTHON', 'R'], 'recommend': ['SAS']}"
102,Backend web developer,"{'known': ['PYTHON'], 'recommend': ['PHP', 'SQL']}"
103,Software developer,"{'known': ['C', 'JAVA', 'PYTHON'], 'recommend': ['C++', 'C#', 'RUBY', 'F#']}"
104,Software developer,"{'known': ['C', 'C++', 'JAVA'], 'recommend': ['C#', 'PYTHON', 'RUBY', 'F#']}"
105,Software developer,"{'known': ['C', 'C++', 'JAVA', 'C#', 'PYTHON'], 'recommend': ['RUBY', 'F#']}"
106,Mobile app developer,"{'known': ['JAVA', 'C'], 'recommend': ['XML', 'C++']}"
107,Web Developer,"{'known': ['HTML', 'JAVASCRIPT'], 'recommend': ['CSS', 'JQUERY', 'HTML5']}"
108,Web Developer,"{'known': ['HTML'], 'recommend': ['CSS', 'JAVASCRIPT', 'JQUERY', 'HTML5']}"
109,Mobile app developer,"{'known': ['JAVA', 'C', 'C++'], 'recommend': ['XML']}"
110,Web Developer,"{'known': ['HTML', 'JAVASCRIPT'], 'recommend': ['CSS', 'JQUERY', 'HTML5']}"
111,Web Developer,"{'known': ['HTML', 'JAVASCRIPT'], 'recommend': ['CSS', 'JQUERY', 'HTML5']}"
112,Data scientist,"{'known': ['PYTHON', 'R'], 'recommend': ['SAS']}"
113,Web Developer,"{'known': ['HTML', 'JAVASCRIPT'], 'recommend': ['CSS', 'JQUERY', 'HTML5']}"
114,Mobile app developer,"{'known': ['JAVA', 'C', 'C++'], 'recommend': ['XML']}"
115,Web Developer,"{'known': ['HTML', 'JAVASCRIPT'], 'recommend': ['CSS', 'JQUERY', 'HTML5']}"
116,Data scientist,"{'known': ['PYTHON', 'R'], 'recommend': ['SAS']}"
117,Data scientist,"{'known': ['PYTHON', 'R'], 'recommend': ['SAS']}"
